Text,Emotion
know feeling thought wished could u u knew however much hated first experience would remember forever,sadness
feeling quite mellow wanted soft easy look wear beginning cold,joy
told maybe need time think ive feeling indecisive thing lately,fear
still feel genre disservice story resolved artifically,joy
always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,joy
remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall,fear
could feel whimper thought unloved uncared,sadness
im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,surprise
im sorry wasnt humor post im feeling funny,surprise
feel ive got foot door fantastic world walking running trail fell mountain,joy
say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,anger
feel strange coming back work one day holiday,fear
im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,anger
fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl,sadness
could claim redeem genre leave feeling entirely frustrated point beating head wall either,anger
feel sad hopeless,sadness
im getting feeling class little intimidated concept lit,fear
still feel groggy get routine son,sadness
feeling view isnt going popular thats fine,joy
want hold feeling shocked awe wonder forever,surprise
heard rumour st year exam result fear might one failure,fear
want feel valued appreciated know people love arent going anywhere even nature relationship change,joy
know day feel distracted,anger
use regularly relaxing music always feel invigorated afterward,joy
im feeling distracted tend practice eye shut much possible,anger
feel like perfect w see youtube influence even know trend,joy
specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol,fear
also feel weird sleeping bed two slept,fear
wish okay thinking earlier today thing cooped amp restless made feel needy,sadness
ive lost weight could fit tiny skirt ive unable wear didnt feel confident,joy
hope feel bit creative soon miss presence life blog,joy
fan current president conservative made feel unwelcome,sadness
enclose verse could weigh much thinking feeling curious hear odd couple,surprise
begin feel complacent life,joy
feel vulnerable alone,fear
remember feeling inspired thinking fine example parenting,joy
feel like always one getting punished stupid thing feel like chastised behaving,sadness
really feel life perfect right isnt much ask hope everything would stay,joy
im simply feel contented,joy
im saying cut everyone life feel important find comfort solitude meditation working project alone,joy
think im stupid feeling nervous,fear
feel honored,joy
feeling act god work life amazing feeling,surprise
feel im like bird flying air carefree manner,joy
revise reply mind make sure reply sound appropriate enough person receive reply feel offended,anger
felt sad friend mine died felt something irrevocably gone away,sadness
died would alex matt feel regretful coming visit,sadness
feel educating family supporting educationg mama papa key,joy
im sure lost feel like everyone hostile toward hate feeling,anger
feel like boring sewing make since easy nothing else say fabric usage,sadness
always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,joy
feel like talented young man feel talented work,joy
feel curious thing around,surprise
feel reason apart others life im help become something push succeed successful happy,joy
feel uncomfortable guess,fear
feel pretty mellow far whatever healing wounding process may getting underway,joy
wonder sometimes whether added antagonism misunderstanding many people towards u feel reluctant wholeheartedly support traditional armistice day remembrance,fear
leg would feel shitty mile would come around like always,sadness
know unfair reaction run way explain feel shaken best come right,fear
seriously feel blessed support home amazing,love
feel abused maligned mostly tired nervous feeling anticipating danger,sadness
feeling pretty restless right typing,fear
know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lapping water wood piling relaxing breeze coming water,love
admit hilarious e card seriously exactly feel stressed feel moment could start hy,sadness
wrote last year feeling dull inarticulate normal,sadness
id kick gear feel irritable motivation ever,anger
feel child innocent feeling illustrating,joy
satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,love
start feel resentful,anger
spend vacation obligation headache feeling like emotional blackmailed three place,sadness
feel herpes coming would surprised point make checkup clinic wednesday,surprise
feel fucked like everyday life,anger
ive worked really hard year try make child class feel like valued,joy
feeling disheartened word late,sadness
feel like bitchy time upon retrospect think trying shake,anger
still second guess still terrible time making definitive decision certain truth know feel assured truth,joy
feel like egg benedict something equally delicious,joy
im feeling way trusting,joy
im feeling inspired summery element favorite past time beach bummin,joy
feel smiled love even gorgeous,joy
continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,sadness
make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,joy
say feel sympathetic,love
feeling eager hopped tube ride eye london,joy
go online see friend talking another one talking feel ignored feel unloved,sadness
monitoring say anything ever come across blog feel offended please dont stop,anger
feel like weird cancer one time,surprise
want feel safe well maybe maybe small chance feel joy dream come true,joy
im feeling cranky,anger
also think puzzling particular administrator singled praise ability get student read feel ssr time productive use class time,joy
tried fill befriending people knew using didnt care needed feel accepted even complete loser,love
feel stressed always,sadness
remember feeling another cramp also ignored,sadness
hope feel mellow well fed well slept peace within external world,joy
also learned take lot effort positive thinking break tear feeling exhausted guilty better mom,sadness
im feeling awful hung friend new baby day,sadness
feel relaxed fine,joy
feel suffering really feel pain,sadness
go sleep feel giving precious time something else life,joy
feel like neglecting beloved mom blog,joy
shalt say co din feel thing wrote hw keen xxx,joy
feel terrified like im edge precipice staring ahead,fear
feel totally listless exam come gone whole five month front uni free time,sadness
feel furious right life advocate tell live die lobbying supporting politician sympathic view,anger
feel abused way,sadness
im still paying attention feel distracted,anger
started third block feeling hot cold tingly time knowing still five hour examination ahead idea would good,love
im hesitant make suggestion feel outcome would sincere,joy
feel terribly fond majority precise time,love
feel gaining control damaged good aspect personal security,sadness
bombed first interview left second interview feeling pretty fan freaking tastic,joy
think kind taken u long build good inventory sauce oil spice non perishable feel like chance making something delicious without specifically go buy every single item recipe,joy
feel advise dad whose child soon become teenager cool pull kid high school pick smelly jalopy plant coming window,joy
feel victimized drag country head sand traditionalist hesitate call conservative fear offending real honest god conservative still think world created year ago stuff like skeletal remains kind hoax,sadness
would feel lucky call material kit site mine beautifully curated,joy
blood proved reason feeling lethargic rubbish low iron prescribed iron tablet,sadness
mind feel like mind dangerous life,anger
feel like love everyone least compassionate toward others,love
feel punished neglecting,sadness
feel like doesnt capture beauty lovely polish,love
feel like lost main root feel le secure emotionally financially socially,sadness
feel like bite bullet every time think feel stressed im fully supported decision,sadness
know obnoxiously immature sounding verbal tic voice kind nasal always come across like sharpest tool shed especially feeling awkward knowing knowing know,sadness
id terrible nightmare feeling little disturbed,sadness
didnt want walk passed case customer feel disturbed,sadness
want sufferer able find hope battle help feel alone,sadness
feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,fear
festive feel delicious wheeeeee great night,joy
looking forward beaten feeling like disappointment husband emotional pain,sadness
im sick feeling crappy,sadness
feel like almost convinced going pattern,joy
also wear im wearing dress make feel slutty feel like antique underwear obviously little bit edgy maybe little bit little bit,love
feel perverse pride self control managed stay ordered reach tempting human flesh close u,sadness
feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic day,anger
positively giddy kid left morning last official class year im feeling little sad,sadness
feel supportive also cant help feel jealous,love
mainly like text feel like much clever written word rather spoken,joy
seriouly feel respected dont privacy ordered around,joy
said word devotee feel relieved hear title deen bandhu fallen person become afraid title uplifter devotee consider true devotee hence unworthy benefit aspect personality,joy
personality feel pain suffering,sadness
guess would feel like joseph walt trusting care mother finance six month died time want defend self god make quiet,joy
warming starting feeling little lethargic,sadness
feel excelent sometimes nothing especially since im really keen video game anymore watch bit anime movie got life,joy
wonder master feeling r wanting eager please master could much enjoy attention wrong desire return affection,joy
im feeling little bit positive thing quite hard first saving eaten quickly cost didnt want become burden boyfriend weve come end im feeling brighter inspired thing come,joy
im feeling rather sentimental right say feel lucky max mom,sadness
make show feel isolated crowd ill know wrong anti social feeling,sadness
ive learned turn emotion often find feeling completely blank mother cry continuously suicidalness,sadness
feel loyal style,love
understand may feel youd rather bit vulnerable homeless london precise way,fear
finally stop feeling listless like waste space,sadness
know im feeling agitated side effect high dose,fear
feel shift positive,joy
feeling brave enough,joy
fear thief,fear
feel clever nov,joy
always spend money mean feel dissatisfied exit store,anger
im feeling really quite angry,anger
feel kerry didnt supporting civil union gay equality,love
feel really ashamed,sadness
feel amazing people life,surprise
finally left feeling judged ridiculed intelligent,joy
starting feel bit insulted stranger,anger
many day feel hopeless today light end yellow brick road shining little brighter,sadness
actually feel sorrowful,sadness
see woman wearing boot feel envious want curse,anger
feel feel tell together apologize make keep loving bit bit,love
go say feeling impressed youre naomi klein right,surprise
began feel sen dull cold black unconsciousness came,sadness
suspect feel le fond private,love
honoured young woman felt comfortable enough ask kind faux hawk thing going back must looked dykey enough feel safe talking,joy
wonder cast caveman told perfect part feel insulted complimented,anger
feel convinced plus many diverse price tag feel sure everyone come fund plot lighted relatively economically,joy
feel empty baby isnt,sadness
stopped feeling exhausted href http provokingbeauty,sadness
im feeling font friendly,joy
hand bead consciously breathing consciously working feel calm list thing accomplish afternoon,joy
always feel intimidated people especially always compare people ever since young,fear
made feel rotten,sadness
started feeling hostile checking hemorrhoid,anger
love wearing new shoe feel glamourous get pair designer shoe love box trimming come,joy
know largely fact feeling romantic sexual successfully hidden,love
love feeling something warmly hugging feeling precious small precious someone something,joy
im feeling far mellow normal,joy
became dismayed studied people wearing started feeling like though outfit gorgeous bought way,joy
dont want wax draw anything need unibrow maybe get rid spare hair creeping toward eyelid im feeling brave,joy
im feeling lucky width li style border px list style outside margin px px,joy
recall high school feeling longing watched olympic runner feel st,love
woke feeling confident watched bodypump dvd gather coaching tip compulsory cue,joy
didnt say strong feeling always make skeptical first,fear
want talk limited time phone current arrangment feel hesitant bring,fear
beginning feel good chance might pa,joy
feel like little control help sweet pea better know ahead,joy
feel like receiving end violent attack,anger
feel worthwhile document people familiar batch file,joy
feeling especially thankful many small blessing life right,joy
hoping weatherman right forecast stay home dont venture rain tomorrow feeling kind creative,joy
feel like im edge microcosm one awkward moment missed party id outside,sadness
feel bit funny actually,surprise
learnt nothing else last two year best feel way trusting instinct,joy
feeling also blossoming eager anxiety,joy
feel burdened share,sadness
always want nemo side sleeping without feel weird even though doesnt happen often get,surprise
im feeling outfit heel gorgeous,joy
feel confused,fear
feel session useful gave tool need move forward life,joy
feel selfish bringing loneliness child know parent newtown grieving lost baby,anger
took away disappointed feeling paining gave heart heal lord one love never betrayed never lose loyalty even loyal,love
feel envious embarrassed,anger
could feel frantic need need make,fear
feeling overwhelmed responsibility teacher someone trusting precious gift honor,surprise
feel tranquil right great,joy
feel frustrated new music new lyric clearly nothing,anger
thought going talk try work thing shocked find steve decided wanted thing broke feeling unloved,sadness
wouldnt beared witness incredibly well spoken bouncer making emo kid feel completely unwelcome,sadness
tend stop breathing feeling stressed,sadness
smoker year quit week ago right finished book cant believe free feel knew quit terrified life without cigarette,fear
go mailbox talk mailman grocery clerk etc matter small step limited risk complete total willingness experience whatever thought feeling sensation emerge important,joy
already feeling frantic,fear
feel like insecurity good thing first started writing pictured,joy
feel complimented insulted,anger
crave fall submission feel submissive least,sadness
feel tender fine,love
feel irritated pissed even like someone wake moment edge falling deep slumber,anger
made work feeling little groggy,sadness
want love feel like sort hindrance thats keeping loving,love
feel fond ok second thought really sensitive spelled everything,love
ill get round quarter im feeling hopeful one,joy
im starting feel unwelcome life people already tell,sadness
feel absolutely fantastic hope baby,joy
watched snow fall accumulate conifer tree shoveling shirt sleeve feeling vigorous,joy
feel bitter honkerblonked general,anger
feeling father already convinced,joy
love feel passionate living dream gotten taste feel like nothing stop,love
play rain squeal glee feeling mud squishing toe enjoy pretty much anything take place outdoors,joy
feeling humorous put cold caller hold,joy
busy stuff never blog thread make feel miserable,sadness
feel energized curious life god potential give something back society finding someone heart,surprise
feel privileged also lot work,joy
im pretty happy little nauseated side feel thrilled,joy
close eye hear pitiful wailing sound cry taste salty taste tear feel anger hurt saturating heart,sadness
bought virtually fat free thousand island feeling impressed hold large quantity substance leaf lettuce cucumber friend total sugar becomes burn fat,surprise
im sure folk virginia florida handful swing state agree feel put upon insulted constant barrage,anger
feel like im putting innocent man death row,joy
sure else help feel smart,joy
begin feel every waking moment devoted work,love
feel thankful lesson learning,joy
feel longing sadness see family child,love
feel distinctly called clermont focus little one seem naughty,love
hope feel glad gave many thing including memory cherish,joy
feeling pretty worthless right,sadness
feel project clever useful enough figured would start sharing instructables wrote first one weekend,joy
continued think along line probably would done dish anger got wed fight feeling completely abused,sadness
didnt feel especially nervous finland landed paris little unsure would ahead u thought st grade student janne suominen,fear
feel envious kid certain moment,anger
feeling like pretty crappy mom,sadness
im feeling pissed aac feeling kind miserable frustrated life whole week,anger
im scared anymore im fine feel terrific surgery,joy
still feel vulnerable around,fear
honestly sure feel stunned,surprise
feel caring person attract caring people life,love
im left feeling quite embarrassed say nothing new,sadness
feel unwelcome place buti cant decide scared anything ok situation staying dead end situation afraid thing get worse,sadness
may may cried thanking making child feel special loved,joy
really want go buy yardage art gallery play feel amazing,surprise
feel like shes losing sense self adapt think loyal,love
feel burdened several loved one miss big kid havent seen since friday,sadness
feel still really low abdomen,sadness
feel like welcomed tight knit family make sure feel alone ever,joy
feel doubtful,fear
usually use smaller lego however year student fine motor delay want student feel successful,joy
get exercise feel like im something worthwhile meantime,joy
feel like life rich fulfilling know people look way live feel misplaced pity,joy
feel blessed amazed yes excited,love
feel hesitant talking,fear
try get least minute day five day week though known skip workout feeling particularly lethargic lazy,sadness
feeling beaten sick utterly devoid hope ever life want,sadness
feel hesitant comment want add pileon seems clear involved learned past experience interested applying learning future project,fear
feel quite passionate communion tremendous importance personally theologically,love
im feeling happy well,joy
find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling city,sadness
got feeling brig sincere strong desire help others become successful financially also building strengthening relationship christianity,joy
feel like ive fake feeling lot often would liked,sadness
feeling energetic decided going bike rest temple,joy
im really like said understand way feel toni ight blamed excess merican dream seldom witnessed never er seen hah hah hah hah hah,sadness
happpy get good result field academic athletics,joy
dont know want work always something make feel stressed anxious work whatever job may job require sort rule pressure,sadness
id pop chair feeling like something worthwhile,joy
really hoping theyd get far enough ahead u could feel like navigating delighted punching second control headed onto trail wood,joy
feel like normally would angry thats actually think could never beautiful size,anger
wonder many people feel like perspective think sake without wanting turn result crappy work,sadness
feel indecisive whether feel book huckleberry finn censored,fear
known like kamiki kun laugh nozomi feel unpleasant knot stomach must think fool nonchan,sadness
made choice start recognizing feeling unloved kick choose keep persistence level allowing old reaction shut,sadness
feel like im hated celebrated cant wait till day say made,anger
still feel funny writing like maybe call spirit guide really observant cheerleader something,surprise
would rather feel nothing feel surprised find life depressing grey unrewarding,surprise
feel comfortable decision,joy
get really sweaty episode stomach feel really funny like free falling,surprise
feeling overwhelmed lately,fear
learnt much wonderful world beaubronz feel lovely tanning brand fit perfectly latest mantra stolen boudoir lash mother asma docrat,love
feel rebellious particularly like watching romcoms get feeling may pretty good writing,anger
didnt feel welcomed first entered morris quickly changed left feeling happy,joy
im contemplating feeling skeptical,fear
ive become anxious recent time certainly feeling amongst people belief siege often disadvantaged looked considered way different faith make le worthy regard said,sadness
feel like care im bit heartless,anger
hate chemo thought toxin washing every single cell making feel horrible make cringe,sadness
feel honoured hosted series talented,joy
love feel threatened around little,fear
feel reading allthingsbucks blog brought tear eye lump throat feeling worthwhile thing upset shouldnt write lame blog,joy
feeling determined didnt take long start nomming naughty stuff,joy
feel honored many wonderful artist display work public see,joy
remember fully stressed fun feel could lively,joy
feel dazed href http twitter,surprise
feel bitchy hurting,anger
always feel like ive assaulted pic,sadness
im thankful everything seems working wrap week new job also feeling pretty lucky people life,joy
feel incredibly isolated lonely,sadness
feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,anger
blood test yesterday perhaps im feeling particularly fond right doctor needle inside time spent dizzy head non meat eating nineteen year old female,love
admit worried feeling isolated work cubicle pretty much unless someone need,sadness
im feeling like life fairly sweet,love
going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget perceived insult abuse,anger
feel like year teach get passionate job find love kid want try even harder,love
im one people bury feeling anger second giving sweet smile even pain anger,love
knew holy spirit work plus feel divine gooooood way like massage reassuring,joy
feel though ive reached point career im highly respected,joy
make light sometimes feel really awkward small group one one conversation,sadness
ive lot good day feel fabulous lot energy lately ive also bad day feel gigantic slow clumsy,joy
also feel like google hated seo know,sadness
didnt get wink sleep night continued feeling fabulous next morning,joy
feel like feel mistake time fucked sleep take,anger
love sliding nice big throbbing cock feeling gorgeous body man,joy
found novel position feeling bit uncertain stock market rally,fear
feel like judging want seem like needy girl know,sadness
im definitely feeling festive,joy
feel burdened presence,sadness
still feel little dazed sort disbelieving feeling oh god,surprise
feeling super excited week seem flying getting closer closer due date,joy
turned page feel like way getting back irresponcible year carefree college,joy
favourite choice book dvd u uk im feeling generous limit something like,love
feeling energetic alive happier long time,joy
feel really pathetic confronted,sadness
feel dangerous game activity,anger
feel world class player benzema mould would fantastic,joy
feeling terribly burdened impending anxiety trying keep eye prize,sadness
feel could unpleasant layered love healing forgiveness expectation thing turn well,sadness
im feeling gloomy completed nothing though im supposed complete many thing,sadness
working amount would like feel like lifestyle change successful far,joy
love porn industry feel satisfied fulfilled working say really bring big buck,joy
overhear victory tune geek ringtone feel triumphant,joy
love child literature author feel need dumb thing kid,sadness
soo quiet mixture sleeping well feeling bit isolated big group,sadness
feel greedy money hungry absolutely,anger
feel fucked want shut,anger
feel passionate certain topic love backing position actual knowledge fact instead relying solely opinion,joy
feel like today way suffering exam day open book everytime went home,sadness
feel surprised make,surprise
woke morning hike feeling jubilant,joy
feel like little kid whose mom proud touched soccer ball game,joy
feel miserable inside outside like,sadness
must find way accept limitation older without feeling held back resentful,anger
feel incredibly charmed people life exciting amazing chapter thing,joy
feel wronged judge people make time however also found actually life need responsible action people around u,anger
know feeling stem part accepted mainstream importantly community seek belongingness,joy
really like special edition really feel special song,joy
feel must blog constantly loyal fan baker thia sandwich scruncher course mini rex,love
im currently feeling way fucked mother tongue paper,anger
feel innocent love,joy
feel like sweet carby yet low glycemic meal breakfast often dessert,joy
feel safe encoding utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlinks link rel alternate type application atom xml title could use standing ovation could,joy
really lose lot nesting homemaking instinct desire pregnant longer im pregnant worse get though get month reprieve feel creative around six month mark youll notice post halloween,joy
feel opportunity return moz god gracious gracious way giving heat desire despite self doubt uncertainty past,joy
feel really lucky found resource always felt answer needed asking,joy
keep running hill fitness wise feel fine along foot calf starting hurt also begin tire,joy
always sensitive every sense feel like assaulted drag away darkness,fear
supposed ought feel thankful adding sarcastic edge age,joy
couldnt help feel totally distraught utterly helpless lorena kidnapped tortured almost death band enemy desperate freedom,fear
feel unfortunate mister magnum sound cheer travelling well long period race,sadness
feel tortured tragic enough without importance sparkle,anger
feel selfish thinking way feel lonely time,anger
feel drained energy,sadness
think day chatted mom amp also feeling horny masturbate,love
feeling pretty stinkin shitty horrible reviewer,sadness
feel helpless,sadness
feeling awful sunday,sadness
dont know started feel weird pressure largely silent audience falsely inflated sense importance expressing ever articulate opinion said audience,surprise
woke nap feel extremely agitated grumpy,fear
ive studying really hard discovering pretty word never crossed mind portray exact meaning feel like ive missed lot,sadness
feel lonely work im social bird usually school,sadness
love comment feel free post one,joy
feel intimidated great woman family tree,fear
truly feel lot positive thing help condition worker family kid,joy
think may reason would want fly back uae oblivious conflict plague conflict feel helpless resolving,sadness
saw video cena kissing maria surprisingly didnt feel like hated,sadness
feel like rather unkind,anger
feeling submissive,sadness
feel bit obnoxious definately weather,anger
say pressing torso siwons bringing face close enough feel siwons agitated breath,anger
indifferent tell feeling word treasured ever since feeling start bloom one moment want keep,love
feel casual entire future,joy
still feeling strong missed couple lift,joy
sat couch several hour feeling pretty low,sadness
checked long time ago say happy way back feeling contented everyone everything around,joy
write something big happened like fun trip milestone time write tell im feeling sweet baby snuggle growing personality,joy
hate expectation must need man life feel worthwhile valued,joy
feel loving kindness allow u think feel conscious interact various thing body mind,love
feel completely blessed part group,love
im type doesnt use moisturizer skin oily product designed contain ton moisturizing ingredient make skin feel lovely without oil,love
im afraid im environment make feel relaxed cause,joy
feeling overwhelmed want physically shake everything way would spider shirt,surprise
say little piece feel agitated watch discussion race style color font family georgia serif font size px line height,fear
feel cant touch said love bit much wont deny broke heart cant find crush dont come back home,sadness
feel little frustrated ache longing settled heart weariness life slipped around shoulder like unwelcome friend,anger
even remember trying last year feeling crappy nowhere near closing,sadness
broke uncle radio player accidentally feared going cut going house well playing,fear
feeling conflicted whether follower christ celebrate ever popular pagan originated modern day holiday,joy
feeling impatient took pill,anger
feel carefree weightless yet worried grounded time,joy
feel sincere repentant past opposition civil right,joy
one point put son daycare mom constantly made feel like terrible parent,sadness
thing list feel super guilty relax,joy
feel uncertain motif feel inbalance committment process counselling reconciliation,fear
feel like really valuable,joy
